"","Tazas_por_dia","Rendimiento_con_cafe","Promedio_ponderado_2024_1","Apoyo_economico","Gasto_semanal_cafe","Lugar_compra_cafe"
"1",1,"Regular",14.45,"Ninguno",30,"""Bodegas"" como Listo, Tambo, etc"
"2",1,"Regular",14,"Semi-beca",3,"""Bodegas"" como Listo, Tambo, etc"
"3",2,"Regular",14.2,"Ninguno",20,"Starbucks"
"4",1,"Excelente",17.46,"Semi-beca",10,"Hago mi propio café"
"5",NA,NA,NA,"Ninguno",NA,NA
"6",NA,NA,NA,"Beca",NA,NA
"7",NA,NA,NA,"Beca",NA,NA
"8",NA,NA,NA,"Ninguno",NA,NA
"9",3,"Excelente",NA,"Semi-beca",20,"Hago mi propio café"
"10",NA,NA,NA,"Ninguno",NA,NA
"11",2,"Bueno",11.6,"Beca",30,"Starbucks"
"12",1,"Regular",14.55,"Ninguno",30,"Hago mi propio café"
"13",3,"Puede Mejorar",14.63,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"14",2,"Bueno",12.65,"Ninguno",2,"""Bodegas"" como Listo, Tambo, etc"
"15",4,"Bueno",15,"Ninguno",5,"Hago mi propio café"
"16",1,"Bueno",NA,"Ninguno",10,"Hago mi propio café"
"17",2,"Regular",16,"Ninguno",30,"Cafetería Artesanal"
"18",NA,NA,NA,"Beca",NA,NA
"19",2,"Bueno",15.1,"Ninguno",1,"Hago mi propio café"
"20",NA,NA,NA,"Beca",NA,NA
"21",NA,NA,NA,"Ninguno",NA,NA
"22",5,"Bueno",10.46,"Ninguno",20,"Hago mi propio café"
"23",NA,NA,NA,"Semi-beca",NA,NA
"24",3,"Bueno",15.15,"Ninguno",15,"Hago mi propio café"
"25",NA,NA,NA,"Beca",NA,NA
"26",1,"Bueno",16,"Beca",8,"""Bodegas"" como Listo, Tambo, etc"
"27",1,"Bueno",14.35,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"28",NA,NA,NA,"Ninguno",NA,NA
"29",1,"Bueno",NA,"Beca",6,"""Bodegas"" como Listo, Tambo, etc"
"30",2,"Puede Mejorar",11,"Ninguno",20,"Hago mi propio café"
"31",NA,NA,NA,"Ninguno",NA,NA
"32",NA,NA,NA,"Beca",NA,NA
"33",1,"Regular",15,"Ninguno",20,"Hago mi propio café"
"34",NA,NA,NA,"Ninguno",NA,NA
"35",1,"Regular",13,"Beca",30,"Starbucks"
"36",NA,NA,NA,"Beca",NA,NA
"37",3,"Excelente",15.5,"Semi-beca",8,"Hago mi propio café"
"38",2,"Bueno",14,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"39",NA,NA,NA,"Ninguno",NA,NA
"40",NA,NA,NA,"Ninguno",NA,NA
"41",2,"Bueno",15,"Ninguno",7.5,"Hago mi propio café"
"42",3,"Bueno",15,"Ninguno",25,"Hago mi propio café"
"43",NA,NA,NA,"Semi-beca",NA,NA
"44",NA,NA,NA,"Ninguno",NA,NA
"45",NA,"Regular",15.3,"Ninguno",1,"Hago mi propio café"
"46",1,"Regular",NA,"Ninguno",9,"""Bodegas"" como Listo, Tambo, etc"
"47",1,"Regular",11.2,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"48",2,"Excelente",18,"Beca",5,"Hago mi propio café"
"49",2,"Bueno",NA,"Ninguno",50,"Starbucks"
"50",NA,NA,NA,"Beca",NA,NA
"51",2,"Bueno",15,"Ninguno",23,"Hago mi propio café"
"52",4,"Bueno",NA,"Ninguno",8,"Hago mi propio café"
"53",NA,NA,NA,"Ninguno",NA,NA
"54",NA,"Regular",13.9,"Beca",1.5,"Hago mi propio café"
"55",1,"Bueno",15.65,"Ninguno",14,"""Bodegas"" como Listo, Tambo, etc"
"56",3,"Bueno",NA,NA,8,"Hago mi propio café"
"57",NA,NA,NA,"Beca",NA,NA
"58",NA,NA,NA,"Beca",NA,NA
"59",3,"Puede Mejorar",NA,"Semi-beca",9,"Starbucks"
"60",NA,NA,NA,"Ninguno",NA,NA
"61",1,"Bueno",NA,"Ninguno",100,"Hago mi propio café"
"62",NA,NA,NA,"Ninguno",NA,NA
"63",3,"Bueno",14.86,"Ninguno",6,"Hago mi propio café"
"64",1,"Regular",16.7,"Ninguno",2.5,"""Bodegas"" como Listo, Tambo, etc"
"65",2,"Bueno",12.88,"Ninguno",15,"Hago mi propio café"
"66",3,"Regular",14.63,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"67",2,"Regular",NA,"Beca",3,"Cafetería Artesanal"
"68",2,"Regular",11,"Ninguno",1,"""Bodegas"" como Listo, Tambo, etc"
"69",NA,"Puede Mejorar",13.24,"Beca",0.1,"Hago mi propio café"
"70",NA,NA,NA,"Ninguno",NA,NA
"71",1,"Regular",NA,"Ninguno",6,"Hago mi propio café"
"72",NA,NA,NA,"Ninguno",NA,NA
"73",NA,NA,NA,"Ninguno",NA,NA
"74",NA,NA,NA,"Ninguno",NA,NA
"75",NA,NA,NA,"Ninguno",NA,NA
"76",3,"Bueno",15,"Ninguno",1,"""Bodegas"" como Listo, Tambo, etc"
"77",NA,NA,NA,"Ninguno",NA,NA
"78",1,"Bueno",11.5,"Ninguno",1,"Starbucks"
"79",1,"Bueno",14.74,"Ninguno",2.5,"Hago mi propio café"
"80",1,"Bueno",15.1,"Beca",30,"""Bodegas"" como Listo, Tambo, etc"
"81",NA,"Bueno",NA,"Ninguno",1,NA
"82",NA,NA,NA,"Beca",NA,NA
"83",1,"Regular",17,"Beca",5,"Hago mi propio café"
"84",NA,NA,NA,"Ninguno",NA,NA
"85",NA,NA,NA,"Ninguno",NA,NA
"86",1,"Bueno",16.46,"Beca",2,"""Bodegas"" como Listo, Tambo, etc"
"87",NA,NA,NA,"Ninguno",NA,NA
"88",2,"Bueno",14.28,"Ninguno",4,"Hago mi propio café"
"89",NA,NA,NA,"Ninguno",NA,NA
"90",NA,NA,NA,"Ninguno",NA,NA
"91",NA,NA,NA,"Ninguno",NA,NA
"92",NA,NA,NA,"Ninguno",NA,NA
"93",2,"Bueno",NA,"Ninguno",10,"Cafetería Artesanal"
"94",NA,NA,NA,"Beca",NA,NA
"95",NA,NA,NA,"Beca",NA,NA
"96",1,"Bueno",18.45,"Beca",2,"Hago mi propio café"
"97",NA,NA,NA,"Semi-beca",NA,NA
"98",1,"Regular",14,"Beca",5,"Hago mi propio café"
"99",NA,NA,NA,"Ninguno",NA,NA
"100",NA,NA,NA,"Ninguno",NA,NA
"101",NA,NA,NA,"Beca",NA,NA
"102",NA,NA,NA,"Ninguno",NA,NA
"103",1,"Puede Mejorar",17.45,"Ninguno",1,"""Bodegas"" como Listo, Tambo, etc"
"104",9,"Bueno",16.57,"Beca",5,"Hago mi propio café"
"105",NA,NA,NA,"Ninguno",NA,NA
"106",3,"Bueno",13.92,"Beca",3,"Hago mi propio café"
"107",1,"Bueno",15.75,"Ninguno",10,"Hago mi propio café"
"108",NA,NA,NA,"Ninguno",NA,NA
"109",2,"Bueno",14.53,"Ninguno",3,"Hago mi propio café"
"110",1,"Bueno",17,"Ninguno",10,"Hago mi propio café"
"111",NA,NA,NA,"Ninguno",NA,NA
"112",NA,NA,NA,"Ninguno",NA,NA
"113",NA,NA,NA,"Beca",NA,NA
"114",1,"Bueno",15,"Ninguno",5,"Hago mi propio café"
"115",NA,NA,NA,"Semi-beca",NA,NA
"116",1,"Bueno",16.16,"Ninguno",5,"Hago mi propio café"
"117",NA,NA,NA,"Ninguno",NA,NA
"118",1,"Bueno",NA,"Ninguno",3,"""Bodegas"" como Listo, Tambo, etc"
"119",1,"Bueno",NA,"Ninguno",2,"Hago mi propio café"
"120",NA,NA,NA,"Ninguno",NA,NA
"121",2,"Bueno",14.85,"Ninguno",5,"Starbucks"
"122",NA,NA,NA,"Beca",NA,NA
"123",3,"Excelente",14.3,"Ninguno",80,"Starbucks"
"124",1,"Regular",14,"Ninguno",0.1,"Cafetería Artesanal"
"125",NA,NA,NA,"Ninguno",NA,NA
"126",4,"Bueno",13,"Ninguno",40,"Cafetería Artesanal"
"127",1,"Bueno",15,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"128",NA,NA,NA,"Ninguno",NA,NA
"129",1,"Regular",13.76,"Ninguno",5,NA
"130",8,"Bueno",17.3,"Ninguno",100,"Hago mi propio café"
"131",NA,NA,NA,"Ninguno",NA,NA
"132",3,"Bueno",14,"Ninguno",40,"Hago mi propio café"
"133",NA,"Puede Mejorar",NA,"Ninguno",1,"Starbucks"
"134",5,"Bueno",14,"Ninguno",20,"Hago mi propio café"
"135",1,"Puede Mejorar",NA,"Ninguno",1,"Starbucks"
"136",1,"Regular",13.75,"Ninguno",5,NA
"137",NA,NA,NA,"Beca",NA,NA
"138",3,"Puede Mejorar",17,"Ninguno",30,"Hago mi propio café"
"139",1,"Regular",10.5,"Ninguno",5,"Hago mi propio café"
"140",2,"Bueno",13.7,"Ninguno",0.5,"Hago mi propio café"
"141",NA,"Regular",12,"Ninguno",3,"""Bodegas"" como Listo, Tambo, etc"
"142",NA,NA,NA,"Ninguno",NA,NA
"143",1,"Regular",17.5,"Ninguno",40,"Starbucks"
"144",2,"Bueno",13.8,"Ninguno",15,"Hago mi propio café"
"145",2,"Bueno",12,"Semi-beca",10,"Hago mi propio café"
"146",NA,NA,NA,"Ninguno",NA,NA
"147",NA,NA,NA,"Beca",NA,NA
"148",3,"Puede Mejorar",14.45,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"149",NA,NA,NA,"Ninguno",NA,NA
"150",NA,NA,NA,"Beca",NA,NA
"151",NA,NA,NA,"Beca",NA,NA
"152",2,"Bueno",12.7,"Beca",15,"""Bodegas"" como Listo, Tambo, etc"
"153",1,"Bueno",14.45,"Ninguno",24,"""Bodegas"" como Listo, Tambo, etc"
"154",2,"Regular",15,"Beca",50,"Cafetería Artesanal"
"155",1,"Puede Mejorar",16,"Beca",2,"Hago mi propio café"
"156",2,"Bueno",17.46,"Semi-beca",20,"Hago mi propio café"
"157",2,"Bueno",13.85,"Ninguno",12,"Hago mi propio café"
"158",NA,NA,NA,"Ninguno",NA,NA
"159",2,"Puede Mejorar",14.14,"Ninguno",50,"Cafetería Artesanal"
"160",NA,NA,NA,"Ninguno",NA,NA
"161",2,"Puede Mejorar",NA,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"162",NA,NA,NA,"Ninguno",NA,NA
"163",1,"Bueno",15.75,"Ninguno",10,"Hago mi propio café"
"164",2,"Bueno",15,"Ninguno",8,"Cafetería Artesanal"
"165",NA,NA,NA,"Ninguno",NA,NA
"166",4,"Excelente",NA,"Ninguno",NA,"Hago mi propio café"
"167",1,"Excelente",13.15,"Beca",25,"""Bodegas"" como Listo, Tambo, etc"
"168",3,"Bueno",15,"Ninguno",40,"Hago mi propio café"
"169",1,"Bueno",13,"Ninguno",5,"Hago mi propio café"
"170",5,"Regular",NA,"Ninguno",50,"Cafetería Artesanal"
"171",1,"Puede Mejorar",16.6,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"172",NA,NA,NA,"Ninguno",NA,NA
"173",1,"Bueno",17.28,"Ninguno",50,"Starbucks"
"174",2,"Excelente",NA,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"175",1,"Bueno",12,"Ninguno",4,"""Bodegas"" como Listo, Tambo, etc"
"176",NA,NA,NA,"Ninguno",NA,NA
"177",1,"Puede Mejorar",17.43,"Beca",5,"Hago mi propio café"
"178",4,"Excelente",16,"Ninguno",25,"""Bodegas"" como Listo, Tambo, etc"
"179",2,"Bueno",16,"Ninguno",15,"Cafetería Artesanal"
"180",1,"Excelente",15.75,"Ninguno",10,"Hago mi propio café"
"181",NA,"Regular",16.68,"Beca",2,"""Bodegas"" como Listo, Tambo, etc"
"182",2,"Bueno",16.38,"Ninguno",15,"Hago mi propio café"
"183",1,"Regular",NA,"Ninguno",18,"""Bodegas"" como Listo, Tambo, etc"
"184",NA,"Regular",15,"Ninguno",6,"Hago mi propio café"
"185",1,"Bueno",14.4,"Ninguno",10,"Starbucks"
"186",NA,NA,NA,"Ninguno",NA,NA
"187",2,"Puede Mejorar",15,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"188",4,"Bueno",13.25,"Ninguno",20,"Hago mi propio café"
"189",NA,NA,NA,"Beca",NA,NA
"190",2,"Regular",16,"Beca",10,"Hago mi propio café"
"191",NA,NA,NA,"Semi-beca",NA,NA
"192",NA,NA,NA,"Ninguno",NA,NA
"193",2,"Excelente",15,"Ninguno",16,"Hago mi propio café"
"194",1,"Bueno",0,"Ninguno",4,"""Bodegas"" como Listo, Tambo, etc"
"195",3,"Regular",15.6,"Semi-beca",10,"Hago mi propio café"
"196",2,"Regular",14.31,"Semi-beca",20,"""Bodegas"" como Listo, Tambo, etc"
"197",4,"Bueno",15,"Ninguno",30,"Hago mi propio café"
"198",1,"Bueno",14.68,"Beca",1.5,"Hago mi propio café"
"199",2,"Bueno",12.35,"Ninguno",20,"Hago mi propio café"
"200",6,"Excelente",15,"Ninguno",50,"Hago mi propio café"
"201",NA,NA,NA,"Ninguno",NA,NA
"202",NA,"Regular",14.8,"Semi-beca",2.5,"""Bodegas"" como Listo, Tambo, etc"
"203",1,"Bueno",17.46,"Semi-beca",20,"Hago mi propio café"
"204",3,"Bueno",NA,"Ninguno",17,"Hago mi propio café"
"205",2,"Regular",17.29,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"206",2,"Bueno",17,"Ninguno",30,"Hago mi propio café"
"207",1,"Bueno",14.95,"Ninguno",2,"Hago mi propio café"
"208",1,"Puede Mejorar",16.65,"Beca",35,"Cafetería Artesanal"
"209",2,"Bueno",16.1,"Beca",6,"""Bodegas"" como Listo, Tambo, etc"
"210",1,"Bueno",14,"Semi-beca",30,"Starbucks"
"211",2,"Regular",15.42,"Beca",20,"""Bodegas"" como Listo, Tambo, etc"
"212",2,"Bueno",13.88,"Semi-beca",10,"Hago mi propio café"
"213",1,"Regular",14.35,"Ninguno",20,"Starbucks"
"214",2,"Bueno",13.4,"Ninguno",15,"Hago mi propio café"
"215",2,"Regular",16,"Semi-beca",10,"""Bodegas"" como Listo, Tambo, etc"
"216",NA,NA,NA,"Semi-beca",NA,NA
"217",NA,NA,NA,"Ninguno",NA,NA
"218",3,"Bueno",17.09,"Beca",10,"Hago mi propio café"
"219",1,"Regular",16.5,"Beca",5,"Hago mi propio café"
"220",NA,NA,NA,"Beca",NA,NA
"221",2,"Bueno",13,"Ninguno",15,"Hago mi propio café"
"222",NA,NA,NA,"Beca",NA,NA
"223",NA,NA,NA,"Beca",NA,NA
"224",3,"Bueno",NA,"Ninguno",50,"Hago mi propio café"
"225",NA,NA,NA,"Beca",NA,NA
"226",NA,NA,NA,"Ninguno",NA,NA
"227",2,"Regular",17,"Semi-beca",3,"Cafetería Artesanal"
"228",NA,NA,NA,"Beca",NA,NA
"229",NA,NA,NA,"Ninguno",NA,NA
"230",NA,NA,NA,"Ninguno",NA,NA
"231",NA,NA,NA,"Ninguno",NA,NA
"232",2,"Bueno",NA,"Ninguno",6,"Hago mi propio café"
"233",NA,NA,NA,"Ninguno",NA,NA
"234",NA,NA,NA,"Ninguno",NA,NA
"235",1,"Puede Mejorar",16,"Ninguno",9,"Cafetería Artesanal"
"236",NA,NA,NA,"Ninguno",NA,NA
"237",2,"Excelente",15,"Ninguno",25,"""Bodegas"" como Listo, Tambo, etc"
"238",NA,NA,NA,"Beca",NA,NA
"239",NA,NA,NA,"Semi-beca",NA,NA
"240",2,"Bueno",15.12,"Ninguno",1,"Cafetería Artesanal"
"241",NA,NA,NA,"Beca",NA,NA
"242",1,"Bueno",NA,"Beca",125,"Starbucks"
"243",2,"Bueno",14,"Ninguno",0,"Hago mi propio café"
"244",1,"Bueno",13,"Ninguno",20,"Hago mi propio café"
"245",1,"Regular",15,"Ninguno",30,"Hago mi propio café"
"246",NA,NA,NA,"Ninguno",NA,NA
"247",NA,NA,NA,"Ninguno",NA,NA
"248",NA,NA,NA,"Ninguno",NA,NA
"249",NA,NA,NA,"Ninguno",NA,NA
"250",NA,NA,NA,"Semi-beca",NA,NA
"251",1,"Bueno",13.04,"Beca",17,"Cafetería Artesanal"
"252",4,"Regular",14,"Beca",60,"""Bodegas"" como Listo, Tambo, etc"
"253",1,"Bueno",15.2,"Beca",5,"Hago mi propio café"
"254",NA,NA,NA,"Ninguno",NA,NA
"255",4,"Bueno",11,"Ninguno",3,"""Bodegas"" como Listo, Tambo, etc"
"256",2,"Bueno",NA,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"257",NA,NA,NA,"Ninguno",NA,NA
"258",6,"Regular",14,"Ninguno",15,"Hago mi propio café"
"259",3,"Bueno",13.68,"Ninguno",5,"Hago mi propio café"
"260",NA,NA,NA,"Ninguno",NA,NA
"261",NA,NA,NA,"Beca",NA,NA
"262",NA,NA,NA,"Semi-beca",NA,NA
"263",1,"Bueno",14,"Ninguno",16,"Hago mi propio café"
"264",1,"Bueno",15,"Beca",NA,"Starbucks"
"265",2,"Bueno",15.23,"Semi-beca",40,"Hago mi propio café"
"266",NA,NA,NA,"Semi-beca",NA,NA
"267",4,"Regular",15,"Ninguno",25,"Hago mi propio café"
"268",1,"Bueno",15,"Ninguno",20,"Hago mi propio café"
"269",2,"Bueno",13,"Ninguno",5,"Hago mi propio café"
"270",NA,NA,NA,"Ninguno",NA,NA
"271",1,"Regular",13,"Beca",8,"""Bodegas"" como Listo, Tambo, etc"
"272",1,"Bueno",14.7,"Ninguno",15,"Hago mi propio café"
"273",NA,NA,NA,"Ninguno",NA,NA
"274",NA,NA,NA,"Ninguno",NA,NA
"275",1,"Excelente",15,"Beca",6,"""Bodegas"" como Listo, Tambo, etc"
"276",1,"Bueno",16,"Ninguno",5,"Cafetería Artesanal"
"277",2,"Bueno",14,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"278",NA,NA,NA,"Ninguno",NA,NA
"279",NA,NA,NA,"Beca",NA,NA
